"Libellé";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Fabrication de produits réfractaires (NAF rév. 2, niveau classe, poste 23.20)";"Codes"
"idBank";"010767879";""
"Dernière mise à jour";"03/05/2024 08:45";""
"Période";"";""
"2024-03";"79.47";"A"
"2024-02";"88.08";"A"
"2024-01";"92.61";"A"
"2023-12";"80.67";"A"
"2023-11";"91.17";"A"
"2023-10";"81.89";"A"
"2023-09";"83.43";"A"
"2023-08";"92.01";"A"
"2023-07";"82.04";"A"
"2023-06";"82.36";"A"
"2023-05";"95.16";"A"
"2023-04";"96.88";"A"
"2023-03";"96.76";"A"
"2023-02";"85.56";"A"
"2023-01";"80.14";"A"
"2022-12";"93.46";"A"
"2022-11";"106.94";"A"
"2022-10";"85.83";"A"
"2022-09";"91.27";"A"
"2022-08";"115.09";"A"
"2022-07";"100.92";"A"
"2022-06";"105.61";"A"
"2022-05";"99.85";"A"
"2022-04";"92.5";"A"
"2022-03";"98.46";"A"
"2022-02";"108.43";"A"
"2022-01";"108.22";"A"
"2021-12";"107.21";"A"
"2021-11";"106.06";"A"
"2021-10";"103.39";"A"
"2021-09";"110.14";"A"
"2021-08";"101.47";"A"
"2021-07";"105.43";"A"
"2021-06";"102.61";"A"
"2021-05";"86.29";"A"
"2021-04";"92.56";"A"
"2021-03";"96.25";"A"
"2021-02";"101.39";"A"
"2021-01";"87.21";"A"
"2020-12";"93.62";"A"
"2020-11";"91.79";"A"
"2020-10";"94.21";"A"
"2020-09";"84.23";"A"
"2020-08";"76.16";"A"
"2020-07";"82.9";"A"
"2020-06";"84.07";"A"
"2020-05";"81.16";"A"
"2020-04";"79.29";"A"
"2020-03";"75.68";"A"
"2020-02";"80.83";"A"
"2020-01";"87.04";"A"
"2019-12";"84.48";"A"
"2019-11";"85.96";"A"
"2019-10";"93.8";"A"
"2019-09";"108.17";"A"
"2019-08";"93.52";"A"
"2019-07";"96.87";"A"
"2019-06";"81.34";"A"
"2019-05";"97.87";"A"
"2019-04";"111.2";"A"
"2019-03";"99.06";"A"
"2019-02";"99.29";"A"
"2019-01";"103.36";"A"
"2018-12";"98.01";"A"
"2018-11";"96.96";"A"
"2018-10";"108.35";"A"
"2018-09";"103.05";"A"
"2018-08";"106.48";"A"
"2018-07";"109.87";"A"
"2018-06";"103.15";"A"
"2018-05";"103.53";"A"
"2018-04";"107.0";"A"
"2018-03";"115.51";"A"
"2018-02";"105.05";"A"
"2018-01";"112.28";"A"
"2017-12";"124.95";"A"
"2017-11";"102.42";"A"
"2017-10";"106.66";"A"
"2017-09";"112.74";"A"
"2017-08";"109.71";"A"
"2017-07";"91.99";"A"
"2017-06";"99.52";"A"
"2017-05";"98.34";"A"
"2017-04";"106.09";"A"
"2017-03";"105.28";"A"
"2017-02";"112.51";"A"
"2017-01";"100.43";"A"
"2016-12";"97.2";"A"
"2016-11";"94.28";"A"
"2016-10";"89.9";"A"
"2016-09";"86.58";"A"
"2016-08";"86.9";"A"
"2016-07";"89.51";"A"
"2016-06";"101.37";"A"
"2016-05";"107.26";"A"
"2016-04";"99.73";"A"
"2016-03";"83.38";"A"
"2016-02";"105.21";"A"
"2016-01";"115.24";"A"
"2015-12";"105.64";"A"
"2015-11";"115.34";"A"
"2015-10";"103.33";"A"
"2015-09";"107.74";"A"
"2015-08";"77.03";"A"
"2015-07";"96.05";"A"
"2015-06";"93.71";"A"
"2015-05";"80.44";"A"
"2015-04";"120.5";"A"
"2015-03";"95.8";"A"
"2015-02";"95.57";"A"
"2015-01";"96.0";"A"
"2014-12";"109.52";"A"
"2014-11";"106.01";"A"
"2014-10";"91.51";"A"
"2014-09";"99.56";"A"
"2014-08";"83.45";"A"
"2014-07";"109.08";"A"
"2014-06";"123.38";"A"
"2014-05";"108.62";"A"
"2014-04";"96.11";"A"
"2014-03";"94.79";"A"
"2014-02";"94.27";"A"
"2014-01";"93.66";"A"
"2013-12";"99.07";"A"
"2013-11";"94.78";"A"
"2013-10";"102.12";"A"
"2013-09";"104.55";"A"
"2013-08";"107.3";"A"
"2013-07";"99.63";"A"
"2013-06";"97.41";"A"
"2013-05";"108.51";"A"
"2013-04";"123.48";"A"
"2013-03";"99.63";"A"
"2013-02";"101.57";"A"
"2013-01";"106.18";"A"
"2012-12";"89.81";"A"
"2012-11";"100.22";"A"
"2012-10";"118.08";"A"
"2012-09";"105.94";"A"
"2012-08";"114.77";"A"
"2012-07";"121.76";"A"
"2012-06";"128.35";"A"
"2012-05";"106.61";"A"
"2012-04";"126.89";"A"
"2012-03";"133.01";"A"
"2012-02";"138.28";"A"
"2012-01";"123.82";"A"
"2011-12";"117.99";"A"
"2011-11";"124.13";"A"
"2011-10";"123.98";"A"
"2011-09";"128.67";"A"
"2011-08";"135.21";"A"
"2011-07";"132.6";"A"
"2011-06";"125.12";"A"
"2011-05";"125.98";"A"
"2011-04";"124.53";"A"
"2011-03";"129.22";"A"
"2011-02";"127.4";"A"
"2011-01";"139.6";"A"
"2010-12";"120.39";"A"
"2010-11";"118.34";"A"
"2010-10";"126.71";"A"
"2010-09";"114.42";"A"
"2010-08";"112.08";"A"
"2010-07";"115.12";"A"
